Experiment,NorESM mean sig. area (%),NRMSE,CRPS,Mean Bias,ΔT NorESM (K),ΔT AeroGP (K),NorESM version
0xEA SO2 only,20.56552632279335,1.1507523390774805,0.1310772114584382,-0.05489399311426097,0.10975728930760409,0.05486329619334325,NorESM1
0xEU SO2 only,19.21025217504952,1.0356633795617276,0.12921143919904207,-0.034157042343548855,0.09939685060522499,0.06523980826167615,NorESM1
0xNA SO2 only,12.112622767193816,1.1476447218005537,0.1279675624859847,-0.005486494976466856,0.07735021881083996,0.07186372383437314,NorESM1
0xSA SO2 only,5.950125596181242,1.8061558702700486,0.1295612834971005,-0.03228688927497836,0.06091050811649386,0.02862361884151548,NorESM1
10xEU BC only,56.34425758378872,0.8397056907487601,0.14840276476174022,-0.0478002940956083,0.15951213982531418,0.11171184572970606,NorESM1
10xNA BC only,34.446421264965096,0.9678321271989995,0.14472697250873448,-0.01871170747971666,0.13368322268928828,0.11497151520957169,NorESM1
10xSA BC only,29.961024676867382,1.5214876803625845,0.14220948864020236,0.021029446313889547,0.11330586137818703,0.13433530769207638,NorESM1
10xSA SO2 only,62.7662512718586,0.8715226100186565,0.1364602899338221,0.05158043148639614,-0.17136443480286379,-0.119784003316468,NorESM1
5xEA BC only,47.374993867233094,0.8741025340819999,0.1331128601905591,-0.015177425927363217,0.13920504272633394,0.12402761679897065,NorESM1
5xEA SO2 only,73.90516919925744,0.8561201153036889,0.1445444796727416,0.07070979092783267,-0.2442029616170498,-0.1734931706892174,NorESM1
5xNA SO2 only,62.34380663359795,0.9747186209642501,0.14305851356272672,0.03154897453517155,-0.20632163060927916,-0.1747726560741076,NorESM1
7xEU SO2 only,66.83929709017053,0.8861055891837523,0.1464934490699851,0.03516162776863246,-0.2460127383946281,-0.21085111062599587,NorESM1
AeroGP1,24.89034741600826,2.0758009396386017,0.15453402110593512,-0.0003780499085449157,-0.114215470655341,-0.11459352056388598,NorESM2
AeroGP2,52.23543976007152,1.053241502748947,0.17650983545020893,-0.2034563245320062,0.29422821820567097,0.09077189367366491,NorESM2
Global Anthro Removal,80.4511757581549,0.6102745588421844,0.2057663358135537,-0.031610038923330405,0.5527819007666324,0.5211718618433023,NorESM1
Global BC removal only,52.70390145769528,2.137450146159855,0.16708305845692423,0.20654314441673433,-0.1297385562576107,0.0768045881591236,NorESM1
Global OC removal only,38.07957297555934,0.9571671570811672,0.13585230233920842,-0.007320042701003627,0.15093352257075515,0.14361347986975156,NorESM1
Global SO2 removal only,69.75732665173936,0.7346143540405324,0.16749828577056242,0.1096884975326245,0.3621649477590349,0.47185344529165923,NorESM1
DAMIP hist-aer,77.41281668988813,0.44095849985112306,0.2019999057736179,0.1661093400766757,-0.8353060983896031,-0.6691967583129268,NorESM2
RAMIP AF,3.010705907962019,3.165475855228554,0.1386344365220753,0.0966283122995449,0.04662805158401856,0.1432563638835634,NorESM2
RAMIP EA,16.413241206260267,1.7968407902356833,0.15776501569181398,0.17002292726160934,0.12986806267588955,0.2998909899374991,NorESM2
RAMIP NAE,17.75017327443617,1.1375072611506376,0.1386010044059028,-0.08255291547271311,0.13310880490972474,0.05055588943701215,NorESM2
RAMIP SA,8.398179075348299,1.3313686841363157,0.13416833220403376,0.03331742924092096,0.08728052302808036,0.12059795226900143,NorESM2
RAMIP T1,68.07509378427076,0.4183659040816417,0.1515499653276916,0.006400287760320414,0.46554871314533636,0.4719490009056582,NorESM2
DAMIP ssp245-aer,47.489973084698974,0.5259841669523547,0.17660055164588817,0.10418257831439007,-0.5832400268767333,-0.4790574485623427,NorESM2
ssp370-lowNTCF,30.323988638143938,1.0355270888139436,0.1447142757537274,0.08590080503005888,0.18888739669538593,0.2747882017254446,NorESM2
